index,title,tag,artist,year,x_coordinate,y_coordinate
0,Relax,rap,Rich Amiri,2022,-0.4,0.7
1,Extra,rap,Lil Calorie,2020,-0.8,-0.3
2,The Most Fun,rap,Safaree,2015,0.7,0.85
3,California,rap,Vanilla Taurus,2018,-0.7,0.55
4,Free Thinking,rap,ProduceKyro,2021,0.25,0.65
5,That Bird,rap,Young Mugz,2016,-0.2,0.7
6,Keep It Real Remix,rap,Miilkbone,1995,-0.4,0.65
7,Dolla Signs and Palm Trees,rap,Dashboard Danny,2021,-0.8,-0.5
8,You,rap,Hailey B,2016,-0.7,-0.3
9,ISSA FUNERAL,rap,SCTHECARDINAL,2017,-0.55,0.65
10,Lions and Tigers and Bears,rap,Hiesse,2019,-0.55,0.65
11,Diss on my sis,rap,Dj hughes,2019,-0.55,0.65
12,King me,rap,King_isaiahhh,2015,-0.4,0.65
13,Insta Dreams,rap,Nightingale_RUS,2019,-0.7,-0.7
14,SHUT UP,rap,JAYKakashi,2020,-0.55,0.65
15,Ghetto Apostles,rap,Shabazz the Disciple,1998,-0.4,0.65
16,Hanh,rap,Dot Dot Curve,2008,-0.55,0.65
17,Word to Spread,rap,The Funk Hunters & Chali 2na,2016,-0.7,0.3
18,Growth,rap,Sami-Kaie,2019,0.85,0.2
19,DROPTHESAUCE,rap,PrxdDaGxd,2017,-0.4,0.65
20,Gun Emoji Bang,rap,Gensu Dean & Denmark Vessey,2018,-0.6,0.45
21,BUDDAH ARMS,rap,Thouxanbanfauni,2022,-0.7,0.3
22,Graduation333,rap,Majoraeclipse,2021,-0.6,0.45
23,Lasting,rap,DAJ,2018,0.25,0.65
24,No Offence,rap,Tobbz,2019,-0.6,0.45
25,1994 Freestyle,rap,Young Social,2016,-0.75,0.1
26,In The Field Again,rap,FORTYTEN,2019,0.7,0.85
27,Exodia,rap,Tori2x,2022,-0.4,0.65
28,Joy to the World,rap,Shama Mrema & PD Bachmann,2019,0.85,-0.2
29,​​thelifestyle,rap,Eli juggz,2021,0.9,0.6
30,Ratchita,rap,Ty-Mitch,2020,0.25,0.65
31,Backseat Freestyle,rap,DJ Critical Hype,2018,0.25,0.65
32,102.1 Jamz Freestyle,rap,J. Cole,2009,0.25,0.65
33,Sewed Up,rap,Q Da Fool,2018,-0.4,0.6
34,Where You Been,rap,BrvndonP & Mission,2017,0.7,0.85
35,Life is Beautiful,rap,Parsa,2019,-0.75,-0.1
36,Used To,rap,Skr1ter,2020,-0.7,0.55
37,Untitled feat. Yung Kayo,rap,KILLY,2019,0.85,-0.2
38,The Marijuana Song,rap,A.K.Nash,2016,0.25,0.65
39,Space,rap,Asher Roth,2012,-0.7,-0.7
40,Tales Of Women,rap,Akua Naru,2012,-0.8,-0.3
41,Gods Will,rap,William Pippins,2018,-0.8,-0.5
42,Peppa.exe vs Sonic.exe,rap,Animation Rewind,2020,-0.55,0.65
43,Stormy Weather,rap,303BAM,2021,0.85,-0.2
44,What You Know,rap,Soulja Boy,2009,-0.2,0.7
45,Chopsticks,rap,Almighty Jay,2017,-0.4,0.65
46,Searle St Serenade,rap,D'Meetri,2019,-0.7,0.3
47,Like You,rap,Figure Flows,2017,0.85,-0.15
48,21 Answers,rap,Lil' Mo,2013,0.7,0.85
49,Fake Me,rap,Triple A,2018,0.75,-0.5
50,Mindframe,rap,Toddi,2017,0.6,-0.35
51,Kings Bread,rap,Yung cash register aka lil broomstick,2018,-0.4,0.65
52,Astronaut In The Ocean Remix,rap,Vojtech Cekal,2021,0.7,0.85
53,Shining,rap,Movvy,2020,-0.8,-0.5
54,Collapse,rap,HeyMrNoOdLeS,2019,-0.8,-0.3
55,Monster,rap,D-Lo116,2021,-0.2,0.7
56,Spacing,rap,Gidii,2019,-0.7,-0.3
57,This Cant Be Happening Intro,rap,Us3rn4mee,2021,-0.75,-0.1
58,Dolce  Gabbana,rap,PD,2021,0.7,0.85
59,The Cipher,rap,Lord Jamar,2006,-0.8,-0.3
60,Windmill Cancer Survivor,rap,Beans,2019,0.65,0.55
61,Monkey Ish,rap,Stalley,2014,-0.6,0.45
62,Fight Or Win Single,rap,Kimo's,2020,-0.55,0.65
63,Double Up,rap,Sylence 100,2020,0.7,0.85
64,Up,rap,Yung Mavu,2020,0.25,0.65
65,VVS Remix,rap,Lil Skittles,2019,-0.6,0.45
66,Intro Skit,rap,Lil Oli,2021,-0.8,-0.3
67,NINA SIMONE,rap,BabyDaiz,2021,0.85,-0.2
68,Too Much,rap,Barry Allen,2016,-0.7,-0.7
69,Paid the Fine,rap,"Young Stoner Life, Young Thug & Gunna",2021,0.85,-0.2
70,The Brink,rap,Nate Nics,2021,-0.6,0.45
71,Uptown Interlude,rap,Lord Stunnah,2018,-0.7,-0.7
72,A Lot,rap,Brazen-Faced,2020,-0.4,0.65
73,ENDZ,rap,BLV CLOVDS,2020,-0.7,0.55
74,Ode2edith,rap,Skoobers,2020,-0.3,-0.7
75,Stamina,rap,Zoocci Coke Dope,2017,0.25,0.65
76,What Is Understood,rap,P-Tree,2021,0.7,0.85
77,Got It,rap,Lil Karat Stixx,2020,0.85,-0.2
78,Drugz,rap,DopeSMOOTHIES,2020,-0.8,-0.5
79,Stop Playing,rap,Blaze Coleman,2018,-0.6,0.45
80,Last Time,rap,Kill The Vultures,2015,-0.7,-0.3
81,White barz,rap,Peter Sorensen,2013,-0.6,0.45
82,Big Blanco,rap,Tu Blanco,2020,0.25,0.65
83,My Lifes Rapture,rap,Ghwttogabe,2020,-0.7,0.55
84,Ima Ball,rap,Kalan.FrFr.,2021,0.7,0.85
85,Drako  vs undead_slayer,rap,Dr@k01387,2019,-0.55,0.65
86,Wanting more,rap,Matthew Collis,2018,0.7,0.85
87,203,rap,MI$FIT NIZZY,2018,0.7,0.85
88,Heartfelt,rap,Roney,2020,-0.7,0.3
89,Soul,rap,Silas,2021,-0.75,-0.1
90,Ghost Stories Part 1,rap,Styles P,2005,-0.2,0.7
91,Inalude,rap,Sica,2021,0.75,-0.5
92,Trouble,rap,Sheperd,2017,-0.55,0.65
93,Private Party,rap,Arhinslim,2020,-0.6,0.45
94,Food Trucks,rap,T-K.A.S.H.,2017,-0.55,0.65
95,Old Skool,rap,Kosh,2018,0.7,0.85
96,Mrs. Lynch Your Son Is The Devil,rap,IDK,2017,-0.7,-0.3
97,Not Having It,rap,Clover,2019,0.7,0.85
98,ZEALOT,rap,Sonya June,2019,-0.55,0.65
99,Tha Bachelor,rap,POP STUNNA,2021,0.25,0.65
100,138,rap,Tnb clipper,2021,-0.6,0.45
101,The christmas rap,rap,Pye green valley,2012,0.6,-0.35
102,IMPURITY,rap,Sai (@off.sai),2020,-0.4,0.65
103,Knife Talk Sessions,rap,Wayne Rama,2021,0.7,0.85
104,Kasies Vibe,rap,Kasie,2020,-0.6,0.45
105,Bugs Bunny Flow,rap,SBL Jeremiah,2021,0.25,0.65
106,Reader  Writer,rap,Teejayx6,2019,-0.4,0.65
107,Deh Suh Remix,rap,Yizzy,2019,0.65,0.55
108,Foxys Bells,rap,Foxy Brown,1996,0.7,0.85
109,Early grind,rap,Dicecapo,2013,-0.4,0.65
110,Sunday,rap,Nickelus F,2016,-0.7,0.3
111,Hot Dog,rap,SHUG,2018,0.25,0.65
112,Never Turns Out How You Thought it Would,rap,Classified,2006,0.1,-0.7
113,CELEBRATE LIFE,rap,"Charlie Heat, DRAM & Ant Beale",2018,0.65,0.55
114,Gods Gift,rap,Orakana,2022,0.25,0.65
115,Molotov,rap,GXNER.,2021,-0.2,0.7
116,Shine Blockas Remix,rap,Big Boi,2010,0.7,0.85
117,U Gon Miss It,rap,Thugga Massina,2014,-0.55,0.65
118,Why RapGenius?,rap,a 'M.O.M.T.' Vce,2013,0.7,0.85
119,Now What,rap,K-Rino,2012,-0.7,0.3
120,16 Bar Freestyle,rap,AYungXhulooo,2018,-0.4,0.65
121,We Made It,rap,Trouble,2015,-0.7,-0.7
122,Big Los,rap,Nino Brown (USA),2011,-0.55,0.65
123,Castle Mania,rap,Omega Sparx,2014,-0.2,0.7
124,Swipe,rap,Weiland,2022,-0.55,0.65
125,Not tha Average,rap,Jeru the Damaja,1996,0.25,0.65
126,Past Due,rap,Daren (DVG),2016,0.85,-0.2
127,Grow,rap,Amb,2017,-0.8,-0.5
128,Pootie,rap,Jesuslovemike,2021,0.25,0.65
129,Thousand Pieces,rap,808x,2016,-0.7,0.3
130,UnHoly Angel,rap,C-Money,2021,-0.55,0.65
131,TENS,rap,Boybrat ft bakardi,2019,0.25,0.65
132,Fade,rap,JINX (jr.),2018,-0.7,-0.7
133,Celo,rap,LocoCity,2019,-0.2,0.7
134,Days,rap,Reezy Mw,2019,0.7,0.85
135,O.T.S Now You Bout It,rap,Rotimi A,2014,0.85,-0.2
136,Im a reject,rap,Tempvra,2017,-0.55,0.65
137,Get It Right Now,rap,Del The Funky Homosapien,2009,-0.6,0.45
138,Humping,rap,Pablo M.,2013,0.25,0.65
139,Geez,rap,Swish Da God,2020,0.85,-0.2
140,I Told Em,rap,Lil Gotit,2019,-0.4,0.65
141,Shady 2.0 Cypher Freestyle,rap,Ill Intent,2014,-0.55,0.65
142,Running In Circles,rap,Softheart,2020,-0.4,0.65
143,Baby Dont Go,rap,Fabolous,2007,-0.3,-0.7
144,They Forgot,rap,Loose,2019,-0.2,0.7
145,Dennisms,rap,Funky DL,2019,0.75,0.3
146,Old.Person.Syndrome.O.P.S.,rap,Sinderella Mann,2020,-0.6,0.45
147,Was Never Cool,rap,Kenny Golder Jr.,2019,0.7,0.85
148,Animae,rap,Swaghollywood,2020,0.7,0.85
149,Wax and Herbal T get FUNKYFRESH,rap,Wax & Herbal T,2022,0.7,0.85
150,Drifting Through the Sequoia Grove,rap,Flacco,2016,-0.6,0.45
151,Awesome Remix,rap,Prezidential Candidates,2011,0.65,0.55
152,MELIAMOTH,rap,theo (FR),2020,0.7,0.85
153,My Time,rap,Tommy G,2016,0.85,-0.2
154,Fed Up,rap,Bounty Killer,1996,-0.4,0.65
155,Nightim6,rap,666laughter,2021,0.25,0.65
156,Forever,rap,Melvin boy x Pablo,2015,0.25,0.65
157,Add It Up,rap,Young Finch,2017,0.7,0.85
158,Sole,rap,Vandalyzm,2010,0.85,-0.2
159,Judges Criteria,rap,Arobie1992,2014,,
160,From the Machine,rap,Van Roy Asylum,2020,-0.55,0.65
161,This Christmas,rap,No Genre,2016,0.25,0.65
162,When Will I Stop Dreaming,rap,Cadenza,2015,-0.7,-0.3
163,End of Discussion,rap,White Acid,2019,0.7,0.85
164,Guess,rap,Suave Sterling,2018,0.7,0.85
165,Sega Police,rap,Charles Hamilton,2013,0.7,0.85
166,Feel Like Dyin,rap,DirtBoys,2018,-0.4,0.65
167,KODO BOOGIE,rap,T-Time,2015,0.65,0.55
168,Foreword Backwoods,rap,Ataah King,2015,0.25,0.65
169,Everything BoZ,rap,Trippie Redd,2019,-0.2,0.7
170,So Many Tears,rap,DJ Holiday,2015,-0.55,0.65
171,Winn Dixie,rap,Yahto Bank,2020,-0.4,0.65
172,Mirror / Her Song,rap,Pick Patek,2018,-0.4,0.7
173,Buckets,rap,Abhi,2018,-0.4,0.65
174,Better Together,rap,Niq,2021,-0.4,0.65
175,Fraud,rap,Sethii Shmactt,2018,-0.55,0.65
176,Sky High,rap,Eddie DeShaun,2013,0.75,-0.5
177,Gotta Go,rap,Prince Scooter,2017,-0.7,0.3
178,Schoolastic book fair 2,rap,KevinKempt,2020,-0.4,0.65
179,Decline,rap,Chiddy Bang,2009,0.7,0.85
180,ON $WOLE,rap,Lewi$ Gold,2018,-0.4,0.65
181,Dreams,rap,Lil Freaky,2017,-0.55,0.65
182,Heavy n da Streets,rap,Young Dolph,2010,-0.4,0.65
183,Im Gone,rap,Jay Stud,2020,-0.7,-0.7
184,Boomer Humor,rap,Ojmosfhgry,2019,-0.6,0.45
185,Reward It,rap,Future,2020,0.75,-0.5
186,BEAUTIFUL,rap,Ylti,2016,-0.4,0.65
187,PSA 2021 24KaratKev,rap,indigomerkaba,2021,0.7,0.85
188,Ozzie Ostrich Sings A Song,rap,Aaron Fraser-Nash,2021,-0.4,0.65
189,Happy Birthday,rap,Venom of ifame,2020,0.6,-0.35
190,OTW,rap,FCG Heem,2020,-0.6,0.45
191,Big Afrika,rap,Innoss'B,2013,0.65,0.55
192,Fever Timothy Is Everywhere,rap,Dizraeli,2019,-0.2,0.7
193,VIBE,rap,Lil Kar$,2021,-0.4,0.65
194,CØLD,rap,777Arcane,2020,0.25,0.65
195,Demon World,rap,The SHRINE,2021,-0.4,0.7
196,Triumphal Arch,rap,BabyLee,2013,0.7,0.85
197,1 OClock Jump,rap,Stevie Stone,2013,-0.4,0.65
198,Im On,rap,Monty,2012,0.85,-0.2
199,Finest,rap,Doestax,2021,0.65,0.55
200,Lemonade Boy,rap,JordyBoy (QC),2021,0.7,0.85
201,Capri Sun,rap,Yung Spinach Cumshot,2021,,
202,Time Heals,rap,Rell Riley,2018,,
203,Tsunami,rap,MOJA,2020,,
204,Appreciate Me,rap,Troy Ave,2016,,
205,Red Cap,rap,shy,2017,,
206,NEVA,rap,Dean Blunt & Poison Anna,2020,,
207,Wellfuckitthenimadoitanyway,rap,Mr. Muthafuckin eXquire,2020,,
208,Dear Marla,rap,Mike Bars,2018,,
209,Who Dis?,rap,WizTheMc,2017,,
210,How High,rap,Curren$y,2015,,
211,Sauce Ondjove,rap,Lioness,2018,,
212,Stand Up,rap,Poetic Killa,2022,,
213,Fuck it up Shawty,rap,Lil Mewf,2018,,
214,​lime-juice,rap,Sewerperson,2022,,
215,Do U Like My Song,rap,Sick Luke,2018,,
216,Habits,rap,Cypher Clique,2020,,
217,Down the Road,rap,BLOODCLOTS,2020,,
218,Till I Realized,rap,KTown Chano,2019,,
219,Devils Night,rap,Clarky,2012,,
220,Pull Up,rap,Pink Dreamz,2020,,
221,P.Y.T.,rap,Memphis Bleek,2000,,
222,Facades,rap,Tru (Rap),2017,,
223,AMBIEN,rap,Mockingbyrd,2019,,
224,One Time,rap,Julian Cruz,2013,,
225,Scrub,rap,Stunna Gambino,2019,,
226,Rock Out,rap,Slimelife Shawty,2020,,
227,Otis,rap,Cassidy,2013,,
228,NO BREAKS,rap,REVERIE,2019,,
229,To the Table,rap,Bronze Nazareth,2005,,
230,Mountains remix,rap,717pluto,2020,,
231,Trap,rap,Rich The Kid,2014,,
232,Halflife,rap,Deitycrew,2022,,
233,Attention Span,rap,Anthony John,2018,,
234,Refill rap version,rap,Elle Varner,2012,,
235,Dont mind me The Editorial,rap,Sean Toner,2015,,
236,It Was Me,rap,DoRoad,2021,,
237,Regret.,rap,Zoot (Artist),2021,,
238,Or Not,rap,Matthew (Old),2019,,
239,Bad Guy,rap,Jaypelb,2020,,
240,Gangsta Shit,rap,Carmike,1994,,
241,Psychosis,rap,JL,2013,,
242,Same Damn Time,rap,Future,2011,,
243,Actin Boujee,rap,Lil Sheik,2019,,
244,She Shine,rap,Omar LinX,2010,,
245,Static,rap,Built to Fade,2013,,
246,Focus,rap,Freddy Will,2009,,
247,Freddy Krueger,rap,Earl Sweatshirt,2019,,
248,Understand,rap,Nathan Young,2021,,
249,Raise Hell,rap,Tyri,2013,,
250,LL2ME,rap,ADB Icee-O,2021,,
251,Up To Something,rap,Stu Boi,2019,,
252,Cut Off,rap,Ciipher (Soundcloud),2017,,
253,Lookin 4 Luv,rap,Aknoa,2021,,
254,NO THOT ZONE III Unreleased,rap,Lettucejuuice,2019,,
255,Honor,rap,Laws,2011,,
256,New June,rap,CP (ClubParadise),2016,,
257,Girl.,rap,Teenage Syndicate,2016,,
258,Time Flies,rap,Anarky,2017,,
259,Crocs and jersey Remix,rap,Otis Banuchi,2022,,
260,Say sumthin,rap,Cado,2017,,
261,FF,rap,LA Dear,2018,,
262,Jack in the Box,rap,Twankstar,2013,,
263,IMAGINATION,rap,Kevin Abstract,2011,,
264,Immortals,rap,Hieroglyphics,2013,,
265,Block Popping,rap,MoStack,2016,,
266,Bad Girls Wont Turn Nice,rap,Yxng Maz,2018,,
267,Long nights.,rap,Death2deimos,2018,,
268,SHOOTOUT Snippet Demo,rap,Robb Bank$,2022,,
269,Rebel vs. Gravity,rap,Lecrae,2013,,
270,Lost  Found,rap,David Chidiac,2014,,
271,Prophecies,rap,Cheb Amin,2017,,
272,Stand Straight,rap,Mario William Vitale,2017,,
273,Hive Remix,rap,Trippy Tyler,2014,,
274,Pit Stop,rap,Sbvasi,2021,,
275,Baddie,rap,Big Ant Dog b.a.d,2021,,
276,G8INGD8WN,rap,ARN8LD,2019,,
277,My Time,rap,YUNG KEVO,2018,,
278,Ibtdbw,rap,Yung Skrrt,2018,,
279,Bak on ëm,rap,Yeat,2021,,
280,Status,rap,Mr. Lif,2002,,
281,​leisurely stroll through stepford suburbia,rap,mr. master,2020,,
282,Drop That Ass,rap,Crizzly,2017,,
283,This Is What It Comes Too,rap,Raekwon,2017,,
284,Control,rap,Pack2SOUR,2019,,
285,No Trace,rap,Onye Wolff,2018,,
286,K-12,rap,Jordxn,2020,,
287,DFFRNT,rap,TheOnlyEpisode,2020,,
288,Drip Like Leak,rap,Sosamann,2019,,
289,Victim of a Drive-By,rap,Three 6 Mafia,1994,,
290,Setitoff,rap,Azynporter,2018,,
291,The Sopranos,rap,Sy Ari da Kid,2022,,
292,Cloud,rap,Rex Pharaoh,2012,,
293,Museum Lifestyle Bonus Snippet,rap,King Space,2013,,
294,G$FB,rap,YG,2014,,
295,Demon Time,rap,Sxstem,2020,,
296,Lil K.O vs. Fbf K.O,rap,Fbf K.O,2022,,
297,Action,rap,Treacherous Three,1983,,
298,Rock the Rock,rap,SJ the Artisan,2017,,
299,Canada Goose,rap,Pressa,2017,,
300,Worth it,rb,Lhomelessm,2021,0.25,0.65
301,Shawty on fleek,rb,Radio Rell,2015,0.25,0.65
302,Mortia,rb,Prey (preye_itams),2015,0.6,-0.35
303,Udue,rb,Waje,2018,0.9,0.6
304,Be By Myself,rb,Janine,2018,-0.6,0.45
305,It’s the Love,rb,Carl Anderson,1984,0.25,0.65
306,Circles,rb,R.LUM.R,2019,-0.3,-0.7
307,Fallin’ in Love,rb,RUSSELL!,2022,0.85,-0.2
308,Im Right This Time,rb,AOE,2017,-0.8,-0.3
309,Top Down,rb,Angela Muoz,2020,0.25,0.65
310,Codeine love,rb,Gavin Whyte,2021,0.75,-0.5
311,I Use,rb,Nylo,2015,-0.7,-0.3
312,BLVCK VINYL,rb,Judgement Of Yesterday,2014,0.1,-0.7
313,I love hating you,rb,Savage Rapscallion,2021,-0.7,0.55
314,Wave,rb,Svn. The. Singer.,2016,0.25,0.65
315,Imagine Your Body,rb,Ailani,2021,0.25,0.65
316,Silent Sounds,rb,Realnev,2022,-0.7,-0.3
317,Love Will Find A Way,rb,Inez Richardson,1921,0.9,0.6
318,Shot,rb,Lawrence,2016,-0.7,0.55
319,So Bad,rb,Lil Mosey,2016,0.25,0.65
320,Trippin,rb,IndigoChildRick,2020,0.25,0.65
321,Out in the Country,rb,Bobby Taylor,1969,-0.8,-0.3
322,Lost a Good Girl,rb,John Lee Hooker,1962,-0.75,-0.1
323,My Only One,rb,Your Grandparents,2019,-0.7,0.55
324,​put in the grave,rb,czyby,2020,-0.6,0.45
325,Simbisa Strengthen,rb,McKurry,2020,-0.6,0.45
326,Desire,rb,Zen Adler,2020,-0.7,-0.3
327,Number One,rb,Keke Palmer,2016,-0.7,-0.3
328,All Night Long,rb,Robin Thicke,2006,0.25,0.65
329,Love A God,rb,Nefertitti Avani,2021,-0.6,0.45
330,Ghideon,rb,Witch Prophet,2020,-0.7,0.55
331,Hypnotized,rb,Justine Skye,2021,-0.55,0.65
332,Who Told You That,rb,Mavis Staples,2017,-0.6,0.45
333,Gone,rb,Brendan Morris,2015,-0.7,-0.3
334,Oshepete,rb,Mayorkun,2018,0.7,0.85
335,That Thing,rb,Cherokee Monique,2017,-0.3,-0.7
336,Take Control Ride On Me Riddim,rb,EshcoNinco,2015,0.25,0.65
337,Boss Ryan Hemsworth Remix,rb,Tinashe,2018,-0.55,0.65
338,Together,rb,Tshego,2019,-0.4,0.7
339,Sinned,rb,Foreighn,2019,-0.7,0.55
340,Eve Interlude,rb,Jamila Woods,2017,0.85,-0.2
341,If Only You Knew,rb,Richard Jansen,2018,-0.7,-0.3
342,Sometimes,rb,Eric Bellinger,2016,0.1,-0.7
343,Give Me a Chance,rb,Hish,2019,0.25,0.65
344,How Will I Know The Voice Performance,rb,Wendy Moten,2021,-0.8,-0.3
345,Sorry Bout Dat,rb,Syl Johnson,1968,-0.3,-0.7
346,Losing,rb,Dominique Gorley,2021,-0.7,0.55
347,Jenny,rb,Morgan James,2017,-0.8,-0.3
348,You Made Me See,rb,Stefanie Heinzmann,2012,0.75,-0.5
349,Bantu Knots and Boudain,rb,Nicotine,2017,-0.7,-0.3
350,Champagne,rb,BJ the Chicago Kid,2019,0.6,-0.35
351,New Home,rb,Rekswav,2019,-0.8,-0.5
352,Dont Pretend,rb,Faye Meana,2017,-0.7,-0.3
353,Now Vs Then,rb,Daniel Jacob Cox,2020,-0.7,0.55
354,Drug,rb,SLAE,2019,0.25,0.65
355,Feels So Much Better,rb,Johnny Gill,1990,0.19,1
356,Man on the Moon,rb,Dom the Composer,2019,-0.8,-0.5
357,Everything I Give,rb,Mason Monroe,2017,0.25,0.65
358,One Love,rb,Gospel Hydration,2018,0.6,-0.35
359,Medicine Remix,rb,Sonta,2018,-0.7,0.55
360,Minetta Creek,rb,Blood Orange,2018,-0.8,-0.5
361,Yin or Yang,rb,Drew Kennett,2018,-0.6,0.45
362,Letter Bound,rb,Son Little,2017,0.7,0.85
363,Coma,rb,BKTHERULA,2017,-0.75,-0.1
364,Capture the Moon,rb,Champaign,1984,0.75,-0.5
365,Blur,rb,Girlish,2019,-0.7,0.55
366,Unashamed,rb,Whitney Houston,2002,0.85,-0.2
367,Eliza Evilsiza,rb,Micah Kesselring,2021,-0.7,0.55
368,Jealous,rb,Keke Palmer,2016,-0.6,0.45
369,Im So In Love,rb,SWV,1996,-0.4,0.7
370,I Do,rb,Boyz II Men,2000,0.7,0.85
371,Forever My Lady K-Ci’s Drum,rb,Jodeci,1991,0.7,0.85
372,Dried Petals,rb,Audrey Sherman,2021,0.75,-0.5
373,Midway,rb,Kofi the kyd,2019,0.6,-0.35
374,Time,rb,GALLO,2020,-0.8,-0.5
375,Good Firends,rb,Alex J. Price,2017,-0.7,0.55
376,Girl Code,rb,Tellemtee,2021,-0.7,0.55
377,Take a minute,rb,LilBoyzie,2019,0.85,-0.2
378,This Will Have to Do Until the Real Thing Comes Along,rb,Wilbert Harrison,1970,0.7,0.85
379,Escape,rb,JaMyron Minor,2021,-0.8,-0.5
380,Together We Can Make Such Sweet Music,rb,The Supremes & The Four Tops,1970,0.75,0.3
381,Family,rb,Goldie love,1992,0.75,0.3
382,I Bet You,rb,James Cook,2015,0.25,0.65
383,Whistle,rb,Jonn Hart,2018,0.25,0.65
384,Human Sacrifice,rb,Childish Gambino,2018,-0.8,-0.5
385,The Stages,rb,Cosmoofficially,2021,0.85,-0.2
386,Re-Write the Memories,rb,New Edition,2004,-0.7,0.55
387,20 Something,rb,Olivia King,2021,-0.4,0.7
388,Better,rb,Chastity (Chazz),2021,0.1,-0.7
389,X 1 Thing Wrong,rb,JoJo,2020,-0.6,0.45
390,One Night Lover,rb,Tory Lanez,2010,0.25,0.65
391,Numb,rb,Mack Keane,2019,0.1,-0.7
392,L.M.O.D.,rb,Dez Wave,2019,-0.6,0.45
393,Stay With Me,rb,KNNDYGRN,2018,-0.7,0.55
394,If I Hit,rb,112,2005,-0.7,-0.7
395,Patience,rb,Leon Hlabathi,2020,0.75,-0.5
396,Antidote,rb,Jeangu Macrooy,2017,0.1,-0.7
397,Away,rb,Nivea,2019,-0.7,-0.3
398,So You Need Me Now?,rb,Vaishalini,2021,-0.55,0.65
399,Every Time I Look Behind,rb,Nappy Camper,2017,-0.8,-0.3
400,Hold On to Me,rb,Kyle Dion,2016,-0.75,-0.1
401,Retrograde,rb,Berry Gum,2019,-0.2,0.7
402,Philosophies,rb,Joey Diamond,2019,-0.6,0.45
403,Oh No She Didnt,rb,Isyss,2002,-0.55,0.65
404,Dancing Slow,rb,Martha Reeves & The Vandellas,1964,0.6,-0.35
405,Until The Day Of,rb,Lenis,2017,0.85,0.2
406,I Wanna Do Things For You,rb,Eddie Floyd,1973,0.85,-0.15
407,Better than the real thing,rb,Snoozegod,2019,0.65,0.55
408,Last Thing I Do,rb,Casimir Cadence,2021,-0.7,0.3
409,DONT TELL ME,rb,TWONIEB,2021,0.25,0.65
410,Love Will Never Do Without You Work It Out 7,rb,Janet Jackson,1990,0.85,-0.15
411,Cherry Live At Shepherd’s Bush Empire London / 2007,rb,Amy Winehouse,2007,-0.7,0.55
412,Aloevera,rb,FRVRFRIDAY,2017,-0.6,0.45
413,Nani,rb,IDRYS,2017,0.25,0.65
